transaction_id,country,fulfillment_date,gmv_in_dollar,Product_Classification,lead_source,Loan_ID,Financing_Bank,Channel,Dealer_Source_Name,Dealer_Source_id,Is_this_a_Reversal,sourcedata,new_am
T032,Senegal,2025-05-20,5721.48,Imports,Walk-in,LN0032,Zenith Bank,Repossessed Assets,AutoKing Motors,D001,No,solomon.aj@autochek.africa,Solomon Annag-Johnson
T033,Kenya,2025-10-03,19107.06,Local Trade,Website,LN0033,UBA,Local Trade Finance,SpeedWheels,D003,Yes,samuel.schmidgall@autochek.africa,Samuel Schmidgall
T034,Kenya,2025-01-29,5444.95,Local Trade,Dealer Referral,LN0034,Zenith Bank,Repossessed Assets,AutoKing Motors,D001,No,samuel.schmidgall@autochek.africa,Samuel Schmidgall
T035,Kenya,2025-10-27,14820.33,Equity Release,Website,LN0035,Access Bank,Cash Imports,DriveHub,D005,Yes,solomon.aj@autochek.africa,Solomon Annag-Johnson
T036,Uganda,2025-06-23,15007.15,Equity Release,Autochek App,LN0036,GTBank,Equity Release,DriveHub,D005,No,samuel.schmidgall@autochek.africa,Samuel Schmidgall
T037,Uganda,2025-06-21,7136.4,Repossessed Assets,Walk-in,LN0037,Zenith Bank,Equity Release,DriveHub,D005,No,samuel.schmidgall@autochek.africa,Samuel Schmidgall
T038,Senegal,2025-09-09,4150.5,Imports,Dealer Referral,LN0038,Zenith Bank,Equity Release,Elite Cars,D004,No,regina.essien@autochek.africa,Regina Essien
T039,Senegal,2025-04-07,19337.05,Imports,Autochek App,LN0039,Access Bank,Local Trade Finance,SpeedWheels,D003,No,solomon.aj@autochek.africa,Solomon Annag-Johnson
T040,Nigeria,2025-02-27,16126.8,Dealer Marketplace,Dealer Referral,LN0040,GTBank,Marketplace,Prime Auto Ltd,D002,Yes,regina.essien@autochek.africa,Regina Essien
T041,CIV,2025-08-01,5874.91,Dealer Marketplace,Walk-in,LN0041,Access Bank,Marketplace,DriveHub,D005,Yes,solomon.aj@autochek.africa,Solomon Annag-Johnson
T042,Ghana,2025-05-18,19235.81,Repossessed Assets,Autochek App,LN0042,Access Bank,Equity Release,SpeedWheels,D003,No,regina.essien@autochek.africa,Regina Essien
T043,Ghana,2025-09-15,9243.06,Repossessed Assets,Dealer Referral,LN0043,GTBank,Cash Imports,DriveHub,D005,No,samuel.schmidgall@autochek.africa,Samuel Schmidgall
T044,Nigeria,2025-03-16,14620.11,Local Trade,Dealer Referral,LN0044,Zenith Bank,Cash Imports,Elite Cars,D004,No,regina.essien@autochek.africa,Regina Essien
T045,Uganda,2025-07-29,4366.13,Imports,Autochek App,LN0045,GTBank,Cash Imports,SpeedWheels,D003,Yes,solomon.aj@autochek.africa,Solomon Annag-Johnson
T046,Uganda,2025-04-23,19759.7,Equity Release,Walk-in,LN0046,UBA,Cash Imports,Prime Auto Ltd,D002,Yes,regina.essien@autochek.africa,Regina Essien
T047,Senegal,2025-03-19,9018.68,Dealer Marketplace,Dealer Referral,LN0047,Zenith Bank,Local Trade Finance,DriveHub,D005,Yes,solomon.aj@autochek.africa,Solomon Annag-Johnson
T048,Kenya,2025-01-25,4412.87,Imports,Walk-in,LN0048,GTBank,Local Trade Finance,AutoKing Motors,D001,No,samuel.schmidgall@autochek.africa,Samuel Schmidgall
T049,Nigeria,2025-08-05,16705.37,Equity Release,Dealer Referral,LN0049,Zenith Bank,Repossessed Assets,SpeedWheels,D003,No,regina.essien@autochek.africa,Regina Essien
T050,Kenya,2025-06-10,17200.97,Imports,Website,LN0050,UBA,Cash Imports,Elite Cars,D004,Yes,regina.essien@autochek.africa,Regina Essien
